Name,Phase,Minutes
pos-k32,1,0
pos-k32,2,5.36
pos-k32,3,8.08
pos-k32,4,12.22
pos-k32,5,12.51
bb-k32,1,0
bb-k32,2,4.83
mm-k32,1,0
mm-k32,2,6.52
mm-k32,3,9.15
mm-k32,4,15.06
mm-k32,5,15.42
